What could have happened before they chose?	events whose start time is smaller than the start time of they chose? </s>	events whose start time is smaller than the start time of they chose?	events whose start time is smaller than the start time of they chose? and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose?, and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose? or whose start time is larger than the end time of they chose?	Events whose start time is smaller than the start time of they chose?	events whose start time is smaller than the start time of they chosen?	events whose start time is smaller than the start time of they chose? ; and events whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chosen? and whose start time is larger than the end time of they chose?	events whose start time is smaller than the start time of they chose?, whose start time is larger than the end time of they chose?
What could have happened after Blair's surrender?	events whose start time is larger than the start time of Blair's surrender? </s>	events whose start time is larger than the start time of Blair's surrender?	events whose start time is larger than the start time of Blair’s surrender?	Events whose start time is larger than the start time of Blair's surrender?	activities whose start time is larger than the start time of Blair's surrender?	things whose start time is larger than the start time of Blair's surrender?	events whose start time is bigger than the start time of Blair's surrender?	événements whose start time is larger than the start time of Blair's surrender?	actions whose start time is larger than the start time of Blair's surrender?	event whose start time is larger than the start time of Blair's surrender?	what events whose start time is larger than the start time of Blair's surrender?
What happened while the plot was taking place?	events whose start time is larger than the start time of the plot was taking place? and whose start time is smaller than the end time of the plot was taking place? </s>	events whose start time is larger than the start time of the plot was taking place? and whose start time is smaller than the end time of the plot was taking place?	activities whose start time is larger than the start time of the plot was taking place? and whose start time is smaller than the end time of the plot was taking place?	events whose start time is smaller than the start time of the plot was taking place? and whose start time is larger than the end time of the plot was taking place?	Events whose start time is larger than the start time of the plot was taking place? and whose start time is smaller than the end time of the plot was taking place?	events whose start time is larger than the start time of the plot was being taken place? and whose start time is smaller than the end time of the plot was taking place?	events whose start time is larger than the start time of the plot was taking place? and whose start time is smaller than the end time of the plot was being taken place?	actions whose start time is larger than the start time of the plot was taking place? and whose start time is smaller than the end time of the plot was taking place?	things whose start time is larger than the start time of the plot was taking place? and whose start time is smaller than the end time of the plot was taking place?	events whose start time is larger than the start time of the plot was taking place?	événements whose start time is larger than the start time of the plot was taking place? and whose start time is smaller than the end time of the plot was taking place?
What ended before Gazeta quipped?	events whose end time is smaller than the start time of Gazeta quipped? </s>	events whose start time is smaller than the start time of Gazeta quipped?	events whose start time is smaller than the start time of Gazeta queipped?	Events whose start time is smaller than the start time of Gazeta quipped?	events whose end time is smaller than the start time of Gazeta quipped?	events whose start time is smaller than the start time of gazeta quipped?	events whose start time is smaller than the start time of Gazeta quipped?	events whose start time is smaller than the start time of Gazeta quiipped?	events whose starts time is smaller than the start time of Gazeta quipped?	events whose start time is smaller than the start time of gazeta quipped?	événements whose start time is smaller than the start time of Gazeta quipped?
What ended before McNamara said something?	events whose end time is smaller than the start time of McNamara said something? </s>	events whose start time is smaller than the start time of McNamara said something?	events whose end time is smaller than the start time of McNamara said something?	Events whose start time is smaller than the start time of McNamara said something?	events whose start time is smaller than the start time of McNamara said some?	events whose start time was smaller than the start time of McNamara said something?	events whose start time is smaller than the start time of Mcamara said something?	things whose start time is smaller than the start time of McNamara said something?	events whose starts time is smaller than the start time of McNamara said something?	events whose start time is smaller than the start time of McNamara spoke something?	événements whose start time is smaller than the start time of McNamara said something?
What ended after the stocks were reeling?	events whose end time is larger than the start time of the stocks were reeling? </s>	events whose start time is larger than the start time of the stocks were reeling?	Events whose start time is larger than the start time of the stocks were reeling?	events whose start time is bigger than the start time of the stocks were reeling?	events whose start time is larger than the start time of the stock were reeling?	things whose start time is larger than the start time of the stocks were reeling?	events whose start time is larger than the start time of "the stocks were reeling?"	activities whose start time is larger than the start time of the stocks were reeling?	events whose start time is smaller than the start time of the stocks were reeling?	events whose start time is larger than the start time of the stocks are reeling?	events whose start time is larger than the start time of The stocks were reeling?
What happened while Fitch was chosen for the partnership?	events whose start time is larger than the start time of Fitch was chosen for the partnership? and whose start time is smaller than the end time of Fitch was chosen for the partnership? </s>	events whose start time is larger than the start time of Fitch was chosen for the partnership? and whose start time is smaller than the end time of Fitch was chosen for the partnership?	Events whose start time is larger than the start time of Fitch was chosen for the partnership? and whose start time is smaller than the end time of Fitch was chosen for the partnership?	events whose start time is larger than the start time of the Fitch was chosen for the partnership? and whose start time is smaller than the end time of the Fitch was chosen for the partnership?	events whose start time is larger than the start time of Fitch was selected for the partnership? and whose start time is smaller than the end time of Fitch was chosen for the partnership?	activities whose start time is larger than the start time of Fitch was chosen for the partnership? and whose start time is smaller than the end time of Fitch was chosen for the partnership?	events whose start time is larger than the start time of Fitch was chosen for the partnership?	events whose start time is larger than the start time of Fitch was chosen for the partnership? and whose start time is smaller than the end time of Fitch was selected for the partnership?	events whose start time is larger than the start time of Fitch was chosen for a partnership? and whose start time is smaller than the end time of Fitch was chosen for the partnership?	events whose start time is larger than the start time of Fitch was chosen for the partnership? and whose start time is smaller than the end time of Fitch was chosen for the partnership?.	événements whose start time is larger than the start time of Fitch was chosen for the partnership? and whose start time is smaller than the end time of Fitch was chosen for the partnership?
What happened while someone was taking?	events whose start time is larger than the start time of someone was taking? and whose start time is smaller than the end time of someone was taking? </s>	events whose start time is larger than the start time of someone was taking? and whose start time is smaller than the end time of someone was taking?	events whose start time is larger than the start time of someone was taking?	activities whose start time is larger than the start time of someone was taking? and whose start time is smaller than the end time of someone was taking?	events whose start time is larger than the start time of person was taking? and whose start time is smaller than the end time of someone was taking?	events whose start time is larger than the start time of someone was taking?, and whose start time is smaller than the end time of someone was taking?	events whose start time is larger than the start time of someone was taking? and whose start time is smaller than the end time of something was taking?	events whose start time is larger than the start time of someone was taking?, and whose start time is smaller than the end time of someone was taking?	events whose start time is larger than the start time of someone was taking? and whose start time is smaller than the end time of person was taking?	events whose start time is larger than the start time of somebody was taking? and whose start time is smaller than the end time of someone was taking?	events whose start time is larger than the start time of someone was taking? or whose start time is smaller than the end time of someone was taking?
What happened while sections of Kuwait City were set on fire?	events whose start time is larger than the start time of sections of Kuwait City were set on fire? and whose start time is smaller than the end time of sections of Kuwait City were set on fire? </s>	events whose start time is larger than the start time of sections of Kuwait City were set on fire?	events whose start time is larger than the start time of sections of Kuwait City were set on fire? and whose start time is smaller than the end time of sections of Kuwait City were set on fire?	events whose start time is larger than the start time of portions of Kuwait City were set on fire? and whose start time is smaller than the end time of sections of Kuwait City were set on fire?	activities whose start time is larger than the start time of sections of Kuwait City were set on fire? and whose start time is smaller than the end time of sections of Kuwait City were set on fire?	Events whose start time is larger than the start time of sections of Kuwait City were set on fire? and whose start time is smaller than the end time of sections of Kuwait City were set on fire?	events whose start time is larger than the start time of Sections of Kuwait City were set on fire? and whose start time is smaller than the end time of Sections of Kuwait City were set on fire?	events whose start time is larger than the start time of sections of Kuwait City were set on fire? and whose start time is smaller than the end time of portions of Kuwait City were set on fire?	events whose start time is larger than the start time of sections of Kuwait City were set on fire? ; and events whose start time is smaller than the end time of sections of Kuwait City were set on fire?	events whose start time is larger than the start time of sections of Kuwait City were set on fire?, and whose start time is smaller than the end time of sections of Kuwait City were set on fire?	actions whose start time is larger than the start time of sections of Kuwait City were set on fire? and whose start time is smaller than the end time of sections of Kuwait City were set on fire?
What happened while foreign troops disarmed rebels?	events whose start time is larger than the start time of foreign troops disarmed rebels? and whose start time is smaller than the end time of foreign troops disarmed rebels? </s>	events whose start time is larger than the start time of foreign troops disarmed rebels? and whose start time is smaller than the end time of foreign troops disarmed rebels?	events whose start time is larger than the start time of foreign troops disarmed rebels?	activities whose start time is larger than the start time of foreign troops disarmed rebels? and whose start time is smaller than the end time of foreign troops disarmed rebels?	Events whose start time is larger than the start time of foreign troops disarmed rebels? and whose start time is smaller than the end time of foreign troops disarmed rebels?	events whose start time is larger than the start time of foreign troops disarmed rebels?, and whose start time is smaller than the end time of foreign troops disarmed rebels?	actions whose start time is larger than the start time of foreign troops disarmed rebels? and whose start time is smaller than the end time of foreign troops disarmed rebels?	event whose start time is larger than the start time of foreign troops disarmed rebels? and whose start time is smaller than the end time of foreign troops disarmed rebels?	events whose start time is larger than the start time of foreign troops disarmed rebels?, and whose start time is smaller than the end time of foreign troops disarmed rebels?	things whose start time is larger than the start time of foreign troops disarmed rebels? and whose start time is smaller than the end time of foreign troops disarmed rebels?	events whose start time is larger than the start time of foreign troops disarmed rebels?and whose start time is smaller than the end time of foreign troops disarmed rebels?
What happened while Puskas died?	events whose start time is larger than the start time of Puskas died? and whose start time is smaller than the end time of Puskas died? </s>	events whose start time is larger than the start time of Puskas died? and whose start time is smaller than the end time of Puskas died?	events whose start time is larger than the start time of Puskas died?	activities whose start time is larger than the start time of Puskas died? and whose start time is smaller than the end time of Puskas died?	events whose start time is larger than the start time of Puskas died?, and whose start time is smaller than the end time of Puskas died?	Events whose start time is larger than the start time of Puskas died? and whose start time is smaller than the end time of Puskas died?	events whose start time is larger than the start time of Puskas died?, and whose start time is smaller than the end time of Puskas died?	events whose start time is larger than the start time of Puskas died? ; and whose start time is smaller than the end time of Puskas died?	events whose start time is larger than the start time of Puskas died? and whose start time is smaller than the end time of Puskas dead?	actions whose start time is larger than the start time of Puskas died? and whose start time is smaller than the end time of Puskas died?	events whose start time is larger than the start time of Puskas died? or whose start time is smaller than the end time of Puskas died?
What happened while Puskas had Alzheimer's?	events whose start time is larger than the start time of Puskas had Alzheimer's? and whose start time is smaller than the end time of Puskas had Alzheimer's? </s>	events whose start time is larger than the start time of Puskas had Alzheimer's? and whose start time is smaller than the end time of Puskas had Alzheimer's?	events whose start time is larger than the start time of Puskas had Alzheimer's?	events whose start time is larger than the start time of Puskas had Alzheimer’s? and whose start time is smaller than the end time of Puskas had Alzheimer’s?	activities whose start time is larger than the start time of Puskas had Alzheimer's? and whose start time is smaller than the end time of Puskas had Alzheimer's?	Events whose start time is larger than the start time of Puskas had Alzheimer's? and whose start time is smaller than the end time of Puskas had Alzheimer's?	things whose start time is larger than the start time of Puskas had Alzheimer's? and whose start time is smaller than the end time of Puskas had Alzheimer's?	events whose start time is larger than the start time of Puskas had Alzheimer's?, and whose start time is smaller than the end time of Puskas had Alzheimer's?	event whose start time is larger than the start time of Puskas had Alzheimer's? and whose start time is smaller than the end time of Puskas had Alzheimer's?	actions whose start time is larger than the start time of Puskas had Alzheimer's? and whose start time is smaller than the end time of Puskas had Alzheimer's?	events whose start time is larger than the start time of Puskas had Alzheimer’s? and whose start time is smaller than the end time of Puskas had Alzheimer's?
What happened while Sudanese representatives were involved?	events whose start time is larger than the start time of Sudanese representatives were involved? and whose start time is smaller than the end time of Sudanese representatives were involved? </s>	events whose start time is larger than the start time of Sudanese representatives were involved? and whose start time is smaller than the end time of Sudanese representatives were involved?	events whose start time is larger than the start time of Sudanese representatives were involved?	activities whose start time is larger than the start time of Sudanese representatives were involved? and whose start time is smaller than the end time of Sudanese representatives were involved?	Events whose start time is larger than the start time of Sudanese representatives were involved? and whose start time is smaller than the end time of Sudanese representatives were involved?	events whose start time is larger than the start time of Sudanese representatives were involved? and whose start time is smaller than the end time of Sudanesese representatives were involved?	actions whose start time is larger than the start time of Sudanese representatives were involved? and whose start time is smaller than the end time of Sudanese representatives were involved?	événements whose start time is larger than the start time of Sudanese representatives were involved? and whose start time is smaller than the end time of Sudanese representatives were involved?	events whose start time is larger than the start time of Sudanese representatives were involved?, and whose start time is smaller than the end time of Sudanese representatives were involved?	things whose start time is larger than the start time of Sudanese representatives were involved? and whose start time is smaller than the end time of Sudanese representatives were involved?	events whose start time is larger than the start time of Sudanese representatives were involved? ; and whose start time is smaller than the end time of Sudanese representatives were involved?
What happened while the blast occurred?	events whose start time is larger than the start time of the blast occurred? and whose start time is smaller than the end time of the blast occurred? </s>	events whose start time is larger than the start time of the blast occurred? and whose start time is smaller than the end time of the blast occurred?	events whose start time is larger than the start time of the blast occurred?	events whose start time is larger than the start time of the blast occured? and whose start time is smaller than the end time of the blast occured?	events whose start time is larger than the start time of the blast occurred? and whose start time is smaller than the end time of the blast occured?	events whose start time is larger than the start time of the blast occured? and whose start time is smaller than the end time of the blast occurred?	activities whose start time is larger than the start time of the blast occurred? and whose start time is smaller than the end time of the blast occurred?	events whose start time is larger than the start time of the blast occurred? and whose start time is smaller than the end time of the blast occurring?	events whose start time is larger than the start time of the blast occurring? and whose start time is smaller than the end time of the blast occurred?	events whose start time is larger than the start time of the blast? and whose start time is smaller than the end time of the blast occurred?	events whose start time is larger than the start time of the blast occured? and whose start time is smaller than the end time of the blast occur?
What happened while he talked ?	events whose start time is larger than the start time of he talked ? and whose start time is smaller than the end time of he talked ? </s>	events whose start time is larger than the start time of he talked? and whose start time is smaller than the end time of he talked?	events whose start time is larger than the start time of he talked?	events whose start time is larger than the start time of he talked? and whose start time is smaller than the end time of he talked?	events whose start time is larger than the start time of extra_id_100> events whose start time is larger than the start time of	events whose start time is larger than the start time of extra_id_100> events whose start time is larger than the start time of	events whose start time is larger than the start time of extra_id_100> events whose start time is larger than the start time of he	events whose start time is larger than the start time of he talked? and whose start time is smaller than the end time of he talked?	events whose start time is larger than the start time of extra_id_100> events whose start time is larger than the start time of he talked	events whose start time is larger than the start time of extra_id_100> events whose start time is larger than the start time	events whose start time is larger than the start time of extra_id_100> events whose start time is smaller than the start time of
What happened while Fulham was participating in the Uefa Cup?	events whose start time is larger than the start time of Fulham was participating in the Uefa Cup? and whose start time is smaller than the end time of Fulham was participating in the Uefa Cup? </s>	events whose start time is larger than the start time of Fulham was participating in the Uefa Cup? and whose start time is smaller than the end time of Fulham was participating in the Uefa Cup?	events whose start time is larger than the start time of Fulham were participating in the Uefa Cup? and whose start time is smaller than the end time of Fulham was participating in the Uefa Cup?	Events whose start time is larger than the start time of Fulham was participating in the Uefa Cup? and whose start time is smaller than the end time of Fulham was participating in the Uefa Cup?	activities whose start time is larger than the start time of Fulham was participating in the Uefa Cup? and whose start time is smaller than the end time of Fulham was participating in the Uefa Cup?	events whose start time is larger than the start time of Fulham was participating in the Uefa Cup?	events whose start time is larger than the start time of the Fulham was participating in the Uefa Cup? and whose start time is smaller than the end time of the Fulham was participating in the Uefa Cup?	events whose start time is larger than the start time of Fulham was participating in the Ufa Cup? and whose start time is smaller than the end time of Fulham was participating in the Uefa Cup?	events whose start time is larger than the start time of Fulham was participating in the Uefa Cup? and whose start time is smaller than the end time of FulHAM was participating in the Uefa Cup?	events whose start time is larger than the start time of Fulham was participating in the UEFa Cup? and whose start time is smaller than the end time of Fulham was participating in the UEFa Cup?	events whose start time is larger than the start time of Fulham was participating in the Uefa Cup? and whose start time is smaller than the end time of Fulham were participating in the Uefa Cup?
What happened while Annan made remarks?	events whose start time is larger than the start time of Annan made remarks? and whose start time is smaller than the end time of Annan made remarks? </s>	events whose start time is larger than the start time of Annan made remarks? and whose start time is smaller than the end time of Annan made remarks?	events whose start time is larger than the start time of Annan made remarks?	activities whose start time is larger than the start time of Annan made remarks? and whose start time is smaller than the end time of Annan made remarks?	Events whose start time is larger than the start time of Annan made remarks? and whose start time is smaller than the end time of Annan made remarks?	actions whose start time is larger than the start time of Annan made remarks? and whose start time is smaller than the end time of Annan made remarks?	event whose start time is larger than the start time of Annan made remarks? and whose start time is smaller than the end time of Annan made remarks?	events whose start time is larger than the start time of Annan made comments? and whose start time is smaller than the end time of Annan made remarks?	what events whose start time is larger than the start time of Annan made remarks? and whose start time is smaller than the end time of Annan made remarks?	événements whose start time is larger than the start time of Annan made remarks? and whose start time is smaller than the end time of Annan made remarks?	incidents whose start time is larger than the start time of Annan made remarks? and whose start time is smaller than the end time of Annan made remarks?
What happened while Pope John Paul II made his appointment?	events whose start time is larger than the start time of Pope John Paul II made his appointment? and whose start time is smaller than the end time of Pope John Paul II made his appointment? </s>	events whose start time is larger than the start time of Pope John Paul II made his appointment? and whose start time is smaller than the end time of Pope John Paul II made his appointment?	events whose start time is larger than the start time of Pope John Paul II made his appointment?	activities whose start time is larger than the start time of Pope John Paul II made his appointment? and whose start time is smaller than the end time of Pope John Paul II made his appointment?	Events whose start time is larger than the start time of Pope John Paul II made his appointment? and whose start time is smaller than the end time of Pope John Paul II made his appointment?	things whose start time is larger than the start time of Pope John Paul II made his appointment? and whose start time is smaller than the end time of Pope John Paul II made his appointment?	events whose start time is larger than the start time of Pope John Paul II made his appointment?, and whose start time is smaller than the end time of Pope John Paul II made his appointment?	actions whose start time is larger than the start time of Pope John Paul II made his appointment? and whose start time is smaller than the end time of Pope John Paul II made his appointment?	event whose start time is larger than the start time of Pope John Paul II made his appointment? and whose start time is smaller than the end time of Pope John Paul II made his appointment?	événements whose start time is larger than the start time of Pope John Paul II made his appointment? and whose start time is smaller than the end time of Pope John Paul II made his appointment?	events whose start time is larger than the start time of John Paul II made his appointment? and whose start time is smaller than the end time of Pope John Paul II made his appointment?
What ended before Mofaz decided to pull out?	events whose end time is smaller than the start time of Mofaz decided to pull out? </s>	events whose start time is smaller than the start time of Mofaz decided to pull out?	Events whose start time is smaller than the start time of Mofaz decided to pull out?	events whose start time is smaller than the start time of Mofaz decided to withdraw?	events whose end time is smaller than the start time of Mofaz decided to pull out?	events whose start time was smaller than the start time of Mofaz decided to pull out?	events whose starts time is smaller than the start time of Mofaz decided to pull out?	events whose start time is smaller than the start time of mofaz decided to pull out?	things whose start time is smaller than the start time of Mofaz decided to pull out?	activities whose start time is smaller than the start time of Mofaz decided to pull out?	événements whose start time is smaller than the start time of Mofaz decided to pull out?
What happened while stocks rebounded?	events whose start time is larger than the start time of stocks rebounded? and whose start time is smaller than the end time of stocks rebounded? </s>	events whose start time is larger than the start time of stocks rebounded? and whose start time is smaller than the end time of stocks rebounded?	events whose start time is larger than the start time of stocks rebounded?	activities whose start time is larger than the start time of stocks rebounded? and whose start time is smaller than the end time of stocks rebounded?	Events whose start time is larger than the start time of stocks rebounded? and whose start time is smaller than the end time of stocks rebounded?	events whose start time is larger than the start time of stock rebounded? and whose start time is smaller than the end time of stocks rebounded?	actions whose start time is larger than the start time of stocks rebounded? and whose start time is smaller than the end time of stocks rebounded?	things whose start time is larger than the start time of stocks rebounded? and whose start time is smaller than the end time of stocks rebounded?	événements whose start time is larger than the start time of stocks rebounded? and whose start time is smaller than the end time of stocks rebounded?	event whose start time is larger than the start time of stocks rebounded? and whose start time is smaller than the end time of stocks rebounded?	what events whose start time is larger than the start time of stocks rebounded? and whose start time is smaller than the end time of stocks rebounded?
What happened while the market remained bullish?	events whose start time is larger than the start time of the market remained bullish? and whose start time is smaller than the end time of the market remained bullish? </s>	events whose start time is larger than the start time of the market remained bullish? and whose start time is smaller than the end time of the market remained bullish?	activities whose start time is larger than the start time of the market remained bullish? and whose start time is smaller than the end time of the market remained bullish?	events whose start time is larger than the start time of the market remained bearish? and whose start time is smaller than the end time of the market remained bearish?	events whose start time is larger than the start time of the market remained bullish? and whose start time is smaller than the end time of the market remained bearish?	events whose start time is larger than the start time of the market remained bearish? and whose start time is smaller than the end time of the market remained bullish?	events whose start time is larger than the start time of the market remained bullish?	Events whose start time is larger than the start time of the market remained bullish? and whose start time is smaller than the end time of the market remained bullish?	actions whose start time is larger than the start time of the market remained bullish? and whose start time is smaller than the end time of the market remained bullish?	things whose start time is larger than the start time of the market remained bullish? and whose start time is smaller than the end time of the market remained bullish?	events whose start time is larger than the start time of the market remained bullish? and whose start time is smaller than the end time of the market remained bullish?.
What happened while Arafa was pronounced dead?	events whose start time is larger than the start time of Arafa was pronounced dead? and whose start time is smaller than the end time of Arafa was pronounced dead? </s>	events whose start time is larger than the start time of Arafa was pronounced dead? and whose start time is smaller than the end time of Arafa was pronounced dead?	events whose start time is larger than the start time of Arafa was pronounced dead?	activities whose start time is larger than the start time of Arafa was pronounced dead? and whose start time is smaller than the end time of Arafa was pronounced dead?	events whose start time is larger than the start time of Arafa was pronounced dead?, and whose start time is smaller than the end time of Arafa was pronounced dead?	events whose start time is larger than the start time of Arafa was declared dead? and whose start time is smaller than the end time of Arafa was pronounced dead?	events whose start time is larger than the start time of arafa was pronounced dead? and whose start time is smaller than the end time of arafa was pronounced dead?	events whose start time is larger than the start time of Arafa was pronounced dead? and whose start time is smaller than the end time of Arafa was declared dead?	events whose start time is larger than the start time of Arafa was pronounced dead?, and whose start time is smaller than the end time of Arafa was pronounced dead?	Events whose start time is larger than the start time of Arafa was pronounced dead? and whose start time is smaller than the end time of Arafa was pronounced dead?	actions whose start time is larger than the start time of Arafa was pronounced dead? and whose start time is smaller than the end time of Arafa was pronounced dead?
What happened while the team played?	events whose start time is larger than the start time of the team played? and whose start time is smaller than the end time of the team played? </s>	events whose start time is larger than the start time of the team played? and whose start time is smaller than the end time of the team played?	activities whose start time is larger than the start time of the team played? and whose start time is smaller than the end time of the team played?	Events whose start time is larger than the start time of the team played? and whose start time is smaller than the end time of the team played?	things whose start time is larger than the start time of the team played? and whose start time is smaller than the end time of the team played?	event whose start time is larger than the start time of the team played? and whose start time is smaller than the end time of the team played?	actions whose start time is larger than the start time of the team played? and whose start time is smaller than the end time of the team played?	événements whose start time is larger than the start time of the team played? and whose start time is smaller than the end time of the team played?	what events whose start time is larger than the start time of the team played? and whose start time is smaller than the end time of the team played?	events whose start time is larger than the start time of the team played? and whose start time is kleiner than the end time of the team played?	events whose start time is larger than the start time of the team played?and whose start time is smaller than the end time of the team played?
What happened while the people were killed and/or injured?	events whose start time is larger than the start time of the people were killed and/or injured? and whose start time is smaller than the end time of the people were killed and/or injured? </s>	events whose start time is larger than the start time of the people were killed and/or injured? and whose start time is smaller than the end time of the people were killed and/or injured?	events whose start time is larger than the start time of the people were killed and/or injured?	activities whose start time is larger than the start time of the people were killed and/or injured? and whose start time is smaller than the end time of the people were killed and/or injured?	Events whose start time is larger than the start time of the people were killed and/or injured? and whose start time is smaller than the end time of the people were killed and/or injured?	events whose start time is larger than the start time of people were killed and/or injured? and whose start time is smaller than the end time of the people were killed and/or injured?	things whose start time is larger than the start time of the people were killed and/or injured? and whose start time is smaller than the end time of the people were killed and/or injured?	actions whose start time is larger than the start time of the people were killed and/or injured? and whose start time is smaller than the end time of the people were killed and/or injured?	events whose start time is larger than the start time of the people were killed and/or injured?, and whose start time is smaller than the end time of the people were killed and/or injured?	events whose start time is larger than the start time of the people were killed and/or injured?, and whose start time is smaller than the end time of the people were killed and/or injured?	events whose start time is larger than the start time of the people were killed and/or injured? and whose start time is smaller than the end time of the people were killed and/or wounded?
What ended before opportunities were discussed?	events whose end time is smaller than the start time of opportunities were discussed? </s>	events whose start time is smaller than the start time of opportunities were discussed?	events whose start time is smaller than the start time of chances were discussed?	events whose end time is smaller than the start time of opportunities were discussed?	Events whose start time is smaller than the start time of opportunities were discussed?	activities whose start time is smaller than the start time of opportunities were discussed?	things whose start time is smaller than the start time of opportunities were discussed?	events whose start time was smaller than the start time of opportunities were discussed?	events whose start time is smaller than the start time of opportunity were discussed?	items whose start time is smaller than the start time of opportunities were discussed?	whose start time is smaller than the start time of opportunities were discussed?
What happened while showrooms were shuttered?	events whose start time is larger than the start time of showrooms were shuttered? and whose start time is smaller than the end time of showrooms were shuttered? </s>	events whose start time is larger than the start time of showrooms were shuttered? and whose start time is smaller than the end time of showrooms were shuttered?	events whose start time is larger than the start time of showrooms were shuttered?	Events whose start time is larger than the start time of showrooms were shuttered? and whose start time is smaller than the end time of showrooms were shuttered?	activities whose start time is larger than the start time of showrooms were shuttered? and whose start time is smaller than the end time of showrooms were shuttered?	events whose start time is larger than the start time of showrooms were shuttered? ; and events whose start time is smaller than the end time of showrooms were shuttered?	event whose start time is larger than the start time of showrooms were shuttered? and whose start time is smaller than the end time of showrooms were shuttered?	actions whose start time is larger than the start time of showrooms were shuttered? and whose start time is smaller than the end time of showrooms were shuttered?	événements whose start time is larger than the start time of showrooms were shuttered? and whose start time is smaller than the end time of showrooms were shuttered?	things whose start time is larger than the start time of showrooms were shuttered? and whose start time is smaller than the end time of showrooms were shuttered?	what events whose start time is larger than the start time of showrooms were shuttered? and whose start time is smaller than the end time of showrooms were shuttered?
What happened while shoppers were replaced by police?	events whose start time is larger than the start time of shoppers were replaced by police? and whose start time is smaller than the end time of shoppers were replaced by police? </s>	events whose start time is larger than the start time of shoppers were replaced by police? and whose start time is smaller than the end time of shoppers were replaced by police?	events whose start time is larger than the start time of shoppers were replaced by police?	activities whose start time is larger than the start time of shoppers were replaced by police? and whose start time is smaller than the end time of shoppers were replaced by police?	Events whose start time is larger than the start time of shoppers were replaced by police? and whose start time is smaller than the end time of shoppers were replaced by police?	events whose start time is larger than the start time of shoppers were replaced by police? ; and events whose start time is smaller than the end time of shoppers were replaced by police?	actions whose start time is larger than the start time of shoppers were replaced by police? and whose start time is smaller than the end time of shoppers were replaced by police?	events whose start time is larger than the start time of shoppers were replaced by police?, and whose start time is smaller than the end time of shoppers were replaced by police?	events whose start time is larger than the start time of shoppers were replaced by police? and whose start time is smaller than the end time of shoppers were replaced by police?.	events whose start time is larger than the start time of shops were replaced by police? and whose start time is smaller than the end time of shoppers were replaced by police?	event whose start time is larger than the start time of shoppers were replaced by police? and whose start time is smaller than the end time of shoppers were replaced by police?
What happened while offices were relocated?	events whose start time is larger than the start time of offices were relocated? and whose start time is smaller than the end time of offices were relocated? </s>	events whose start time is larger than the start time of offices were relocated? and whose start time is smaller than the end time of offices were relocated?	events whose start time is larger than the start time of office were relocated? and whose start time is smaller than the end time of offices were relocated?	activities whose start time is larger than the start time of offices were relocated? and whose start time is smaller than the end time of offices were relocated?	events whose start time is larger than the start time of offices were relocated?	Events whose start time is larger than the start time of offices were relocated? and whose start time is smaller than the end time of offices were relocated?	events whose start time is larger than the start time of offices were moved? and whose start time is smaller than the end time of offices were relocated?	actions whose start time is larger than the start time of offices were relocated? and whose start time is smaller than the end time of offices were relocated?	events whose start time is larger than the start time of offices were relocated? and whose start time is smaller than the end time of offices were moved?	event whose start time is larger than the start time of offices were relocated? and whose start time is smaller than the end time of offices were relocated?	things whose start time is larger than the start time of offices were relocated? and whose start time is smaller than the end time of offices were relocated?
What happened while Hong Kong was spooked?	events whose start time is larger than the start time of Hong Kong was spooked? and whose start time is smaller than the end time of Hong Kong was spooked? </s>	events whose start time is larger than the start time of Hong Kong was spooked? and whose start time is smaller than the end time of Hong Kong was spooked?	events whose start time is larger than the start time of Hong Kong was spooked?	activities whose start time is larger than the start time of Hong Kong was spooked? and whose start time is smaller than the end time of Hong Kong was spooked?	Events whose start time is larger than the start time of Hong Kong was spooked? and whose start time is smaller than the end time of Hong Kong was spooked?	event whose start time is larger than the start time of Hong Kong was spooked? and whose start time is smaller than the end time of Hong Kong was spooked?	actions whose start time is larger than the start time of Hong Kong was spooked? and whose start time is smaller than the end time of Hong Kong was spooked?	things whose start time is larger than the start time of Hong Kong was spooked? and whose start time is smaller than the end time of Hong Kong was spooked?	events whose start time is larger than the start time of Hong Kong was scared? and whose start time is smaller than the end time of Hong Kong was spooked?	events whose start time is larger than the start time of Hong Kong was spooked?, and whose start time is smaller than the end time of Hong Kong was spooked?	events whose start time is bigger than the start time of Hong Kong was spooked? and whose start time is smaller than the end time of Hong Kong was spooked?
